Designator,Mid X,Mid Y,Rotation,Layer
C1,45.2242,-31.6484,180.0,top
C2,45.2242,-33.964266,180.0,top
C3,45.2242,-36.030132,180.0,top
C4,45.2242,-37.846,180.0,top
C5,45.2242,-44.0436,180.0,top
C6,45.2242,-46.112133,180.0,top
C7,45.2242,-48.430666,180.0,top
C8,45.2242,-50.7492,180.0,top
C9,41.719,-41.148,180.0,top
IC1,44.4982,-40.9164,0.0,top
J1,45.99,-34.6658,180.0,bottom
J2,46.0154,-47.9604,0.0,bottom
L1,50.038,-40.9628,270.0,top
R1,41.719,-38.0492,0.0,top
R2,41.719,-39.624,0.0,top
R3,41.719,-42.672,180.0,top
R4,40.2844,-41.3512,270.0,bottom
